"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"10","336.78823494932954","18.660061534557563","0.005126953125","0.0068359375","0.00341796875","2180","0.0002455740044321651","32","0.0002455740044321651","0","0.0002455740044321651","0.0002455740044321651","9:0.00506055618693535;11:0.0012882723307881816","9:68;11:68","9:0.002438412866756584;11:0.001380610914337499","0.005126953125","0.002685546875","Yes"
"11","247.90297779596088","85.73604648981531","0.003173828125","0.00537109375","0.0009765625","2180","0.0004201427040327446","32","0.0004201427040327446","0","0.0004201427040327446","0.0004201427040327446","18:0.0018075899775415183;10:0.0012882723307881816;12:0.0010925989738962416","18:68;10:68;12:68","18:0.0012764237446012405;10:0.001380610914337499;12:0.0014236247782705158","0.003173828125","0.002685546875","Yes"
"12","259.96635651033824","250.38162770304632","0.033447265625","0.02734375","0.03955078125","2180","0.000247982359783106","32","0.000247982359783106","0","0.000247982359783106","0.000247982359783106","13:0.0016262092763785208;11:0.0010925989738962416","13:68;11:68","13:0.0015717110530816814;11:0.0014236247782705158","0.033447265625","0.045654296875","Yes"
"13","415.82999962043584","545.7384061210779","0.00537109375","0.0078125","0.0029296875","2180","0.00012670336563609853","32","0.00012670336563609853","0","0.00012670336563609853","0.00012670336563609853","12:0.0016262092763785208;14:0.0013449710046823382","12:68;14:68","12:0.0015717110530816814;14:0.001329090312260417","0.00537109375","0.008544921875","Yes"
"14","310.25182647193753","547.8638396705528","0.023193359375","0.02685546875","0.01953125","2180","0.00021125023894703378","32","0.00021125023894703378","0","0.00021125023894703378","0.00021125023894703378","15:0.0024693202537865444;13:0.0013449710046823382","15:68;13:68","15:0.0050018779502637445;13:0.001329090312260417","0.023193359375","0.016357421875","Yes"
"15","327.05983188370294","264.54061202919036","0.005126953125","0.00634765625","0.00390625","2180","0.00011093628510206988","32","0.00011093628510206988","0","0.00011093628510206988","0.00011093628510206988","14:0.0024693202537865444;19:0.0018709173315499816","14:68;19:68","14:0.0050018779502637445;19:0.0019099090985641443","0.005126953125","0.003173828125","Yes"
"16","299.89001172460934","217.23974540162348","0.013427734375","0.0205078125","0.00634765625","2180","0.00012042760725887917","32","0.00012042760725887917","0","0.00012042760725887917","0.00012042760725887917","23:0.0019279644240592642;3:0.0025435383115569032","23:68;3:68","23:0.0012203687971952815;3:0.0016527990678199267","0.013427734375","0.019775390625","Yes"
"17","206.15853717674364","74.59323553872717","0.00439453125","0.0068359375","0.001953125","2180","0.0005444445693726683","32","0.0005444445693726683","0","0.0005444445693726683","0.0005444445693726683","7:0.006205210247017812;27:0.002246159551750171","7:68;27:68","7:0.004521657537209706;27:0.0019391675252883045","0.00439453125","0.0048828125","Yes"
"18","142.52393157221996","118.50239122704629","0.01025390625","0.01123046875","0.00927734375","2180","0.0006432346872859078","32","0.0006432346872859078","0","0.0006432346872859078","0.0006432346872859078","11:0.0018075899775415183;31:0.0020927996952321837","11:68;31:68","11:0.0012764237446012405;31:0.0015345106830207955","0.01025390625","0.0087890625","Yes"
"19","198.72496427007638","125.7468953327895","0.01318359375","0.01611328125","0.01025390625","2180","0.0002575290750594896","32","0.0002575290750594896","0","0.0002575290750594896","0.0002575290750594896","35:0.0010197302472995107;15:0.0018709173315499816","35:68;15:68","35:0.0009521425680812656;15:0.0019099090985641443","0.01318359375","0.0126953125","Yes"
"20","269.5649411103012","21.115215032116787","0.006103515625","0.00732421875","0.0048828125","2180","0.0003087763163089035","32","0.0003087763163089035","0","0.0003087763163089035","0.0003087763163089035","21:0.001829726553361083","21:68","21:0.0018370731916584615","0.006103515625","0.008544921875","Yes"
"21","313.54324507160396","277.70255407225426","0.00244140625","0.00439453125","0.00048828125","2180","0.00025113000540550766","32","0.00025113000540550766","0","0.00025113000540550766","0.00025113000540550766","36:0.0012288208499565412;20:0.001829726553361083;22:0.0011779048211328358","36:68;20:68;22:68","36:0.0013026053909912239;20:0.0018370731916584615;22:0.001397371299428879","0.00244140625","0.0009765625","Yes"
"22","277.0356928227016","121.45925361159239","0.013427734375","0.01708984375","0.009765625","2180","0.0004306731382806329","32","0.0004306731382806329","0","0.0004306731382806329","0.0004306731382806329","23:0.001735168012063304;21:0.0011779048211328358","23:68;21:68","23:0.001451148556361026;21:0.001397371299428879","0.013427734375","0.01220703125","Yes"
"23","243.52629956870987","51.47631545988328","0.007080078125","0.0126953125","0.00146484375","2180","0.00010675273930984283","32","0.00010675273930984283","0","0.00010675273930984283","0.00010675273930984283","22:0.001735168012063304;24:0.0021244149637146825;16:0.0019279644240592642","22:68;24:68;16:68","22:0.001451148556361026;24:0.0017252880796322922;16:0.0012203687971952815","0.007080078125","0.0068359375","Yes"
"24","263.9129875937503","42.57301215696996","0.0205078125","0.02197265625","0.01904296875","2180","0.0004531977209494162","32","0.0004531977209494162","0","0.0004531977209494162","0.0004531977209494162","23:0.0021244149637146825;25:0.0035506579167093877","23:68;25:68","23:0.0017252880796322922;25:0.0032366748143904667","0.0205078125","0.026123046875","Yes"
"25","336.7041768410556","20.018932104193155","0.00634765625","0.01025390625","0.00244140625","2180","0.0002561352670258749","32","0.0002561352670258749","0","0.0002561352670258749","0.0002561352670258749","24:0.0035506579167093877;26:0.0020227503209220843;37:0.0025448588072768397","24:68;26:68;37:68","24:0.0032366748143904667;26:0.0017814711287302554;37:0.0030599028298861075","0.00634765625","0.00341796875","Yes"
"26","211.5482637758028","95.72555711447447","0.009033203125","0.01416015625","0.00390625","2180","0.0002988292600575708","32","0.0002988292600575708","0","0.0002988292600575708","0.0002988292600575708","25:0.0020227503209220843;27:0.002178414269358997","25:68;27:68","25:0.0017814711287302554;27:0.0019179680140903044","0.009033203125","0.01904296875","Yes"
"27","309.1755860843978","41.780360536233346","0.016357421875","0.013671875","0.01904296875","2180","0.0002249873287752058","32","0.0002249873287752058","0","0.0002249873287752058","0.0002249873287752058","26:0.002178414269358997;28:0.0017807691121562996;17:0.002246159551750171","26:68;28:68;17:68","26:0.0019179680140903044;28:0.001750804292311392;17:0.0019391675252883045","0.016357421875","0.0322265625","Yes"
"28","308.1648449402884","334.29242076727076","0.012451171875","0.017578125","0.00732421875","2180","0.00030165709916665177","32","0.00030165709916665177","0","0.00030165709916665177","0.00030165709916665177","27:0.0017807691121562996;29:0.003019432966424457","27:68;29:68","27:0.001750804292311392;29:0.0021823631874605953","0.012451171875","0.008544921875","Yes"
