t,d2,d_out,p_out,p_out_unitary,delta_p_out,A_stationary_frobenius,B_frobenius,trace_error,hermitian_error,A_min_eigenvalue,pair_index,physical_min_eigenvalue
4.540000000000000568e+01,7.239689850234881652e-02,1.081412223726141847e-01,7.408334199306187973e-02,2.039121357784973165e-03,7.204422063527690656e-02,7.657383283678167452e-01,1.335956909781675700e-09,1.365788403773921245e-14,2.832966947897204142e-13,8.183910866422696578e-04,5.000000000000000000e+00,4.091955432363497853e-04
4.550000000000000000e+01,7.614164031973544300e-02,1.095088103684603298e-01,7.436388949662783854e-02,1.928489905437397178e-03,7.243539959119044136e-02,7.657335540325820311e-01,1.295217739454108011e-09,1.399120691672557818e-14,2.955048464347235506e-13,8.184314503094755784e-04,5.000000000000000000e+00,4.092157250748422806e-04
4.560000000000000142e+01,6.998313089755531236e-02,1.104034503908312009e-01,7.463265677272662435e-02,1.948169814594225002e-03,7.268448695813239935e-02,7.657159779157393098e-01,1.255062880803071208e-09,1.354760828974793959e-14,2.918356933280825887e-13,8.189146335659721601e-04,5.000000000000000000e+00,4.094573167070169012e-04
4.570000000000000284e+01,6.709500677077070985e-02,1.106911567119731044e-01,7.489354944847823048e-02,2.111408875847126110e-03,7.278214057263110437e-02,7.656350018616355779e-01,1.216448245744636478e-09,1.376895156943535894e-14,2.959998335755079824e-13,8.206369708315596964e-04,0.000000000000000000e+00,4.103184853418144376e-04
4.580000000000000426e+01,6.998314417880421856e-02,1.108446518309742085e-01,7.516714560617247798e-02,2.428293693238603446e-03,7.273885191293387453e-02,7.654609359002899627e-01,1.180090759947919344e-09,1.376866431072339490e-14,2.849133631010096391e-13,8.240894626587427687e-04,0.000000000000000000e+00,4.120447312559054657e-04
4.590000000000000568e+01,6.907722822128983808e-02,1.115678720536547319e-01,7.547877207731840121e-02,2.897855529053083856e-03,7.258091654826531736e-02,7.651946846207190456e-01,1.146045378544717660e-09,1.387806190221969227e-14,2.924136619925487330e-13,8.292843898826778026e-04,0.000000000000000000e+00,4.146421948682006827e-04
4.600000000000000000e+01,7.292042503322820890e-02,1.132541927113798474e-01,7.584428852041996683e-02,3.500325061047401820e-03,7.234396345937256501e-02,7.648672977223951452e-01,1.113696593671370321e-09,1.398883176773049553e-14,2.850651531201305144e-13,8.356421817249417823e-04,9.000000000000000000e+00,4.178210907903352886e-04
4.610000000000000142e+01,6.897932193549936863e-02,1.155902303916273022e-01,7.625872759505322729e-02,4.192336045418992851e-03,7.206639154963423444e-02,7.645296907818278642e-01,1.082105451513761507e-09,1.399021906503401227e-14,3.033987622060859184e-13,8.420969388406593717e-04,9.000000000000000000e+00,4.210484693496428484e-04
4.620000000000000284e+01,7.004728212076744009e-02,1.176108820770561114e-01,7.669202247155845753e-02,4.907415762228979628e-03,7.178460670932948484e-02,7.642360249867136135e-01,1.050476199405929745e-09,1.399344502882610115e-14,2.926464798685877868e-13,8.474815528631660273e-04,6.000000000000000000e+00,4.237407763623378398e-04
4.630000000000000426e+01,6.674196908863030964e-02,1.181440105050073908e-01,7.709370897859579852e-02,5.562962988626953161e-03,7.153074598996884970e-02,7.640261311283471635e-01,1.018519075547126859e-09,1.366515598431675702e-14,2.971119570820502967e-13,8.510327982145757557e-04,6.000000000000000000e+00,4.255163990399102422e-04
