t,d2,d_out,p_out,p_out_unitary,delta_p_out,A_stationary_frobenius,B_frobenius,trace_error,hermitian_error,A_min_eigenvalue,pair_index,physical_min_eigenvalue
5.574000000000000000e+03,3.757015544869808377e-01,7.340638595812341016e-01,3.164923175315071391e-01,4.670920718241822200e-03,3.118213968132653169e-01,3.844844058664102912e-04,0.000000000000000000e+00,2.920238768856269667e-12,2.330469536554618590e-12,7.896006308880818003e-02,5.000000000000000000e+00,3.948003154440409002e-02
5.574100000000000364e+03,3.099442407590718984e-01,7.340643045927336408e-01,3.164925477172841894e-01,5.368605758288111374e-03,3.111239419589960642e-01,3.844108815717871015e-04,0.000000000000000000e+00,2.920287712742219084e-12,2.330508887824809044e-12,7.896006312668112093e-02,9.000000000000000000e+00,3.948003156334056046e-02
5.574200000000000728e+03,3.794048404864039936e-01,7.340647778605430274e-01,3.164927842354655629e-01,6.067154690698711716e-03,3.104256295447668235e-01,3.843162991997792080e-04,0.000000000000000000e+00,2.920335858474956597e-12,2.330546909466832733e-12,7.896006317365593385e-02,9.000000000000000000e+00,3.948003158682796693e-02
5.574300000000000182e+03,3.822043334595436326e-01,7.340651476606885328e-01,3.164930091806811285e-01,6.758559592046547992e-03,3.097344495886346083e-01,3.842133704448580053e-04,0.000000000000000000e+00,2.920389595867155658e-12,2.330592887835272417e-12,7.896006322319379378e-02,9.000000000000000000e+00,3.948003161159689689e-02
5.574400000000000546e+03,3.175580300834304204e-01,7.340653035342382671e-01,3.164932055227960284e-01,7.422516417865756416e-03,3.090706891049302962e-01,3.841172900207767715e-04,0.000000000000000000e+00,2.920403251980401869e-12,2.330630595108548711e-12,7.896006326793891805e-02,9.000000000000000000e+00,3.948003163396945903e-02
5.574500000000000000e+03,3.649365450575587366e-01,7.340651980677868060e-01,3.164933583961188623e-01,8.023050572117777085e-03,3.084703078240010887e-01,3.840412200168720220e-04,0.000000000000000000e+00,2.920490221190830793e-12,2.330681423187851584e-12,7.896006330195119716e-02,1.200000000000000000e+01,3.948003165097559858e-02
5.574600000000000364e+03,5.247913091344573733e-01,7.340648694885576475e-01,3.164934562261727535e-01,8.512357219863460681e-03,3.079810990063092668e-01,3.839923745850540478e-04,0.000000000000000000e+00,2.920569056192919696e-12,2.330720305323431661e-12,7.896006332252759885e-02,1.200000000000000000e+01,3.948003166126379943e-02
5.574700000000000728e+03,6.419572250077119069e-01,7.340644349211791209e-01,3.164934916082514649e-01,8.841433038139973055e-03,3.076520585701114641e-01,3.839698733367131783e-04,0.000000000000000000e+00,2.920615997938420993e-12,2.330756832368258164e-12,7.896006333100949459e-02,1.200000000000000000e+01,3.948003166550474730e-02
5.574800000000000182e+03,6.954700854648863118e-01,7.340640545392133065e-01,3.164934618704156599e-01,8.974508723614667283e-03,3.075189531468009996e-01,3.839650057501405988e-04,0.000000000000000000e+00,2.920700631950153888e-12,2.330811159103691427e-12,7.896006333232963303e-02,1.200000000000000000e+01,3.948003166616481652e-02
5.574900000000000546e+03,6.754813859208588234e-01,7.340638778506496376e-01,3.164933692773701512e-01,8.902568045002931529e-03,3.075908012323672058e-01,3.839638266958721007e-04,0.000000000000000000e+00,2.920746277694269346e-12,2.330848888285113625e-12,7.896006333349138429e-02,1.200000000000000000e+01,3.948003166674569214e-02
