N,topo,Qstar,Q,delta,signedDelta,imMax,rigidity,K,rate
4,ring,1.878584,1.873547,0.005037,-0.005037,2.017767445e-16,0.590933885,2.8637,0.895522884
4,ring,1.878584,1.872932,0.005652,-0.005652,1.559506004e-15,0.679351959,2.1668,0.895693435
4,ring,1.878584,1.872242,0.006342,-0.006342,0e+00,0.467988502,4.5659,0.895884795
4,ring,1.878584,1.871467,0.007117,-0.007117,2.551515939e-17,0.713091172,1.9666,0.896099499
4,ring,1.878584,1.870598,0.007986,-0.007986,3.892641553e-16,0.765585765,1.7061,0.896340392
4,ring,1.878584,1.869622,0.008962,-0.008962,3.330669074e-16,0.697479434,2.0556,0.896610661
4,ring,1.878584,1.868528,0.010056,-0.010056,2.491102722e-16,0.755421521,1.7524,0.896913883
4,ring,1.878584,1.8673,0.011284,-0.011284,5.845726296e-16,0.694328257,2.0743,0.897254065
4,ring,1.878584,1.865921,0.012663,-0.012663,1.57081648e-16,0.751948233,1.7686,0.897635701
4,ring,1.878584,1.864375,0.014209,-0.014209,3.330669074e-16,0.75273482,1.7649,0.898063826
4,ring,1.878584,1.862639,0.015945,-0.015945,6.68859504e-17,0.757965809,1.7406,0.898544083
4,ring,1.878584,1.860692,0.017892,-0.017892,5.895239397e-16,0.736239307,1.8449,0.899082792
4,ring,1.878584,1.858506,0.020078,-0.020078,7.620249192e-18,0.764370667,1.7116,0.899687034
4,ring,1.878584,1.856054,0.02253,-0.02253,9.736135509e-17,0.677606357,2.1779,0.900364731
4,ring,1.878584,1.853302,0.025282,-0.025282,5.776629175e-16,0.687848762,2.1136,0.901124751
4,ring,1.878584,1.850215,0.028369,-0.028369,1.110223025e-16,0.646278865,2.3942,0.90197701
4,ring,1.878584,1.84675,0.031834,-0.031834,4.440892099e-16,0.69215395,2.0873,0.90293259
4,ring,1.878584,1.842861,0.035723,-0.035723,1.277840083e-15,0.713968011,1.9617,0.904003867
4,ring,1.878584,1.838498,0.040086,-0.040086,8.326672685e-17,0.59684189,2.8073,0.905204642
4,ring,1.878584,1.833602,0.044982,-0.044982,4.155204826e-17,0.610988783,2.6788,0.906550291
4,ring,1.878584,1.828108,0.050476,-0.050476,7.21644966e-16,0.68285476,2.1446,0.908057914
4,ring,1.878584,1.821943,0.056641,-0.056641,3.688455791e-16,0.728261891,1.8855,0.909746485
4,ring,1.878584,1.815025,0.063559,-0.063559,1.901130994e-17,0.721236321,1.9224,0.911636999
4,ring,1.878584,1.807262,0.071322,-0.071322,2.848870323e-16,0.541561259,3.4096,0.913752606
4,ring,1.878584,1.798551,0.080033,-0.080033,4.003292776e-18,0.712310997,1.9709,0.916118704
4,ring,1.878584,1.788776,0.089808,-0.089808,1.890938961e-15,0.747512621,1.7896,0.918762983
4,ring,1.878584,1.777807,0.100777,-0.100777,2.68014777e-16,0.678280507,2.1736,0.921715362
4,ring,1.878584,1.765498,0.113085,-0.113085,6.4878658e-16,0.745271819,1.8004,0.92500777
4,ring,1.878584,1.751686,0.126898,-0.126898,9.154635039e-17,0.624036609,2.5679,0.928673674
4,ring,1.878584,1.736187,0.142397,-0.142397,5.551115123e-16,0.68579406,2.1262,0.932747204
4,ring,1.878584,1.718795,0.159789,-0.159789,4.742764119e-20,0.690141138,2.0995,0.937261675
4,ring,1.878584,1.699279,0.179305,-0.179305,6.383782392e-16,0.391345797,6.5295,0.942247141
4,ring,1.878584,1.677379,0.201205,-0.201205,3.534499082e-16,0.572440488,3.0517,0.947726471
4,ring,1.878584,1.652804,0.22578,-0.22578,4.440892099e-16,0.566879272,3.1119,0.953709104
4,ring,1.878584,1.625228,0.253356,-0.253356,0e+00,0.209532994,22.7769,0.9601812
4,ring,1.878584,1.594283,0.284301,-0.284301,1.821935584e-17,0.667705342,2.243,0.967090101
4,ring,1.878584,1.559559,0.319025,-0.319025,0e+00,0.61564208,2.6384,0.974319872
