N,topo,Q,pc,pr,dn,route,frozen,imMax,nXy,rate,rigidity
3,star,1.706449,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,1.172024243,1
3,star,1.929327,1,1,0,FrozenCommutant,0,9.619749774e-01,1,1.036631151,0.68021903
3,star,2.181313,2,2,0,FrozenCommutant,0,1.076723421e+00,1,0.916878767,0.761358433
3,star,2.466212,1,1,0,FrozenCommutant,0,1.158595463e+00,1,0.810960266,0.819250709
3,star,2.788321,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.717277547,1
3,star,3.1525,1,1,0,FrozenCommutant,0,1.263928365e+00,1,0.634417124,0.893732318
3,star,3.564244,2,2,0,FrozenCommutant,0,1.298127295e+00,1,0.561128797,0.917914613
3,star,4.029766,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.496306791,1
3,star,4.556088,1,1,0,FrozenCommutant,0,1.344359567e+00,1,0.43897307,0.950605766
3,star,5.151153,2,2,0,FrozenCommutant,0,1.359872114e+00,1,0.388262582,0.961574794
3,star,5.823939,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.343410206,1
3,star,6.584596,2,2,0,FrozenCommutant,0,1.381210517e+00,1,0.30373921,0.976663323
3,star,7.444602,1,1,0,FrozenCommutant,0,1.388461962e+00,1,0.268651036,0.981790869
3,star,8.416932,1,1,0,FrozenCommutant,0,1.394108499e+00,1,0.237616273,0.985783573
3,star,9.516257,1,1,0,FrozenCommutant,0,1.398509911e+00,1,0.210166668,0.988895842
3,star,10.759163,1,1,0,FrozenCommutant,0,1.401943518e+00,1,0.185888062,0.991323769
3,star,12.164404,2,2,0,FrozenCommutant,0,1.40462379e+00,1,0.164414138,0.993219007
3,star,13.753182,2,2,0,FrozenCommutant,0,1.406717016e+00,1,0.145420898,0.994699141
3,star,15.549467,1,1,0,FrozenCommutant,0,1.408352385e+00,1,0.12862177,0.995855522
3,star,17.580364,2,2,0,FrozenCommutant,0,1.409630417e+00,1,0.11376329,0.996759227
3,star,19.876513,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.100621272,1
3,star,22.472559,1,1,0,FrozenCommutant,0,1.41141045e+00,1,0.088997429,0.9980179
3,star,25.407672,1,1,0,FrozenCommutant,0,1.412021151e+00,1,0.078716382,0.998449731
3,star,28.726136,2,2,0,FrozenCommutant,0,1.412498721e+00,1,0.069623008,0.998787424
3,star,32.478021,1,1,0,FrozenCommutant,0,1.412872213e+00,1,0.061580108,0.999051523
3,star,36.719934,2,2,0,FrozenCommutant,0,1.413164328e+00,1,0.054466329,0.99925808
3,star,41.515878,1,1,0,FrozenCommutant,0,1.413392809e+00,1,0.048174339,0.99941964
3,star,46.938215,1,1,0,FrozenCommutant,0,1.413571525e+00,1,0.042609204,0.999546011
3,star,53.068756,0,1,1,UnfreezingSeEp,0,1.414213562e+00,1,0.037686958,1
3,star,60,2,2,0,FrozenCommutant,0,1.413820671e+00,1,0.033333333,0.999722184
4,chain,0.5,1,1,0,UnfreezingSeEp,1,5.402116379e-17,0.037255895,0.14902358,0.962793615
4,chain,0.565304,2,2,0,UnfreezingSeEp,1,1.449973895e-15,0.047863636,0.169337575,0.95221747
4,chain,0.639138,1,1,0,UnfreezingSeEp,1,3.63619195e-16,0.061585372,0.192713828,0.938547596
4,chain,0.722615,2,2,0,UnfreezingSeEp,1,1.066258497e-17,0.079402178,0.219763411,0.920816038
4,chain,0.816995,2,2,0,UnfreezingSeEp,1,5.374241798e-17,0.102655711,0.251300729,0.897702911
4,chain,0.923702,1,1,0,UnfreezingSeEp,1,3.915486864e-16,0.133224871,0.288458674,0.867365643
4,chain,1.044345,1,1,0,UnfreezingSeEp,1,3.852116315e-17,0.173833077,0.332903507,0.827141987
4,chain,1.180746,2,2,0,UnfreezingSeEp,1,1.095678133e-15,0.228638204,0.387277631,0.772978552
4,chain,1.334961,1,1,0,UnfreezingSeEp,1,1.820930742e-16,0.304538592,0.456250769,0.698160217
4,chain,1.509319,1,1,0,UnfreezingSeEp,1,5.212355361e-16,0.414791175,0.549640141,0.589769618
4,chain,1.706449,2,2,0,UnfreezingSeEp,1,9.960525487e-16,0.594438652,0.696696511,0.413500916
4,chain,1.929327,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,1.036631151,1
4,chain,2.181313,0,1,1,UnfreezingSeEp,0,6.180339887e-01,1,0.916878767,1
4,chain,2.466212,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.810960266,1
4,chain,2.788321,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.717277547,1
4,chain,3.1525,0,1,1,UnfreezingSeEp,0,6.180339887e-01,1,0.634417124,1
4,chain,3.564244,0,1,1,UnfreezingSeEp,0,6.180339887e-01,1,0.561128797,1
4,chain,4.029766,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.496306791,1
4,chain,4.556088,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.43897307,1
4,chain,5.151153,0,1,1,UnfreezingSeEp,0,6.180339887e-01,1,0.388262582,1
4,chain,5.823939,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.343410206,1
4,chain,6.584596,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.30373921,1
4,chain,7.444602,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.268651036,1
4,chain,8.416932,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.237616273,1
4,chain,9.516257,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.210166668,1
4,chain,10.759163,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.185888062,1
4,chain,12.164404,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.164414138,1
4,chain,13.753182,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.145420898,1
4,chain,15.549467,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.12862177,1
4,chain,17.580364,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.11376329,1
4,chain,19.876513,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.100621272,1
4,chain,22.472559,0,1,1,UnfreezingSeEp,0,6.180339887e-01,1,0.088997429,1
4,chain,25.407672,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.078716382,1
4,chain,28.726136,0,1,1,UnfreezingSeEp,0,1.618033989e+00,1,0.069623008,1
