s,f,abs_kappa_sq,re_kappa,im_kappa,lambda_s,lambda_f
10,13,7.1447437566439405e-31,-1.3700474221189263e-16,-8.340887700214211e-16,-0.09999999999999998,-0.47111812049434904
11,11,6.656222136304715e-31,-2.8835846362495203e-16,-7.631982770462265e-16,-0.1,-0.4711181204943482
14,15,3.8116876815078904e-31,1.180829412268662e-16,-6.059910784343293e-16,-0.10000000000000013,-0.47111812049434976
8,10,3.0340577837398524e-31,-4.011783347182845e-16,-3.7744101807653247e-16,-0.09999999999999987,-0.47111812049434787
9,8,6.449498421620829e-32,-9.763342883022235e-17,2.344412459254177e-16,-0.0999999999999999,-0.47111812049434715
19,59,6.613732413189229e-33,3.3514632896826136e-17,7.409792031481186e-17,-0.10000000000000044,-0.5000000000000023
17,57,6.253982170898299e-33,7.71445061527895e-17,-1.739848675432776e-17,-0.10000000000000026,-0.5000000000000012
4,2,4.665405679686108e-33,-6.684631165629814e-17,-1.403482446043294e-17,1.5340429949286687e-17,-0.45081221638650404
18,58,3.9110722429744023e-33,-3.9573045119172725e-17,4.842567854940519e-17,-0.10000000000000038,-0.5000000000000013
0,1,3.537745327725004e-33,5.830971306825897e-17,-1.173553107542701e-17,1.2935046653061462e-16,-0.45081221638650293
32,68,2.8107671744291583e-33,1.3244540104841033e-18,-5.3000122603662635e-17,-0.1749698412385012,-0.5250301587614987
51,44,2.3092854619360116e-33,-3.0875558041189897e-18,4.795573439217111e-17,-0.20000000000000007,-0.5
42,50,2.2625014520827377e-33,-1.0491925418328547e-17,4.639419094131256e-17,-0.19999999999999965,-0.5000000000000004
21,61,2.0805527973257754e-33,4.1633139580751367e-17,-1.863422888062313e-17,-0.1000000000000008,-0.500000000000004
55,42,2.0294141404049857e-33,-3.6872659414959913e-17,2.588090276774274e-17,-0.20000000000000046,-0.4999999999999995
16,37,1.7834866724931842e-33,5.484079178861931e-18,-4.187375727174667e-17,-0.10000000000000017,-0.49999999999999684
54,40,1.6185423726518783e-33,-3.1916899455206366e-17,-2.449191502962e-17,-0.20000000000000032,-0.4999999999999986
29,70,1.4213063586235542e-33,-6.175469395728866e-18,3.7190992677877935e-17,-0.1749698412385,-0.5250301587614993
20,60,1.3094947808210882e-33,-3.307646178123255e-17,-1.46779581977791e-17,-0.1000000000000005,-0.5000000000000026
47,43,7.6997664151685585e-34,-4.0530478250396186e-19,2.7745492779010706e-17,-0.2,-0.49999999999999967
57,39,7.46146750558316e-34,-2.7226713531861197e-17,-2.2029118938991323e-18,-0.2000000000000011,-0.49999999999999833
48,56,6.739723162370348e-34,-1.873000423000102e-17,1.797663087959417e-17,-0.2,-0.5000000000000012
53,51,6.6838279636390055e-34,-2.22170307060601e-17,1.3220678612305919e-17,-0.20000000000000026,-0.5000000000000006
15,38,5.385661124194283e-34,4.314946502286056e-18,-2.280235402544741e-17,-0.10000000000000016,-0.499999999999998
43,52,4.237130636767909e-34,-7.598526526253889e-18,-1.9130485051524618e-17,-0.19999999999999968,-0.5000000000000006
25,75,3.8477529685368126e-34,-1.316075233478511e-19,1.961524856619155e-17,-0.17492801361591537,-0.5250719863840847
24,77,3.3690148415557433e-34,5.292068345396928e-18,-1.757542308973591e-17,-0.17492801361591517,-0.5250719863840875
45,48,3.2503369093627444e-34,-1.7591158857306568e-17,-3.947761516768592e-18,-0.19999999999999982,-0.5000000000000002
41,55,2.569147845411924e-34,-6.447431519197885e-19,1.601558899351644e-17,-0.1999999999999991,-0.5000000000000011
44,49,2.376016111951851e-34,-1.3648560260537761e-17,-7.16368717977373e-18,-0.19999999999999976,-0.5000000000000003
50,45,2.1436672925308357e-34,1.2518691361111694e-17,7.592700169130283e-18,-0.20000000000000004,-0.5
52,47,1.8730539248691413e-34,1.3369452728666311e-17,2.926281979384595e-18,-0.2000000000000001,-0.5000000000000001
46,53,1.4385037404038948e-34,1.1288605846505964e-17,-4.051882535639554e-18,-0.1999999999999999,-0.5000000000000007
39,67,1.3692685910838025e-34,7.017952318260462e-18,9.36350385096321e-18,-0.1749786215507711,-0.525021378449234
7,7,1.2884515778881194e-34,-1.1350139300798817e-17,1.3962679282320006e-19,-5.678072473913055e-17,-0.471118120494347
37,65,1.1846964050577535e-34,1.1810116650906937e-18,1.0820113305908357e-17,-0.17497862155077024,-0.5250213784492317
1,0,9.828094081116995e-35,3.2536334561032775e-18,9.364550717706394e-18,7.952226800689964e-17,-0.45081221638650193
27,78,9.43187546694643e-35,-5.911436154388199e-18,7.705431672661588e-18,-0.1749280136159162,-0.5250719863840878
49,46,9.022033918741675e-35,6.7192604578032125e-18,6.7135592711779144e-18,-0.20000000000000004,-0.5000000000000001
35,62,7.189733107686439e-35,-6.8428137550242645e-18,-5.0073177441535605e-18,-0.1749786215507697,-0.5250213784492302
36,64,6.506290228035957e-35,7.720134771070007e-18,-2.337182362776904e-18,-0.17497862155077007,-0.5250213784492314
56,41,6.354858826130484e-35,-5.985133090349605e-18,-5.2656215352137696e-18,-0.20000000000000073,-0.4999999999999993
