"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"26","183.28671810992952","128.5563128830934","0.008056640625","0.01171875","0.00439453125","2280","0.0001524158453308282","32","0.0001524158453308282","0","0.0001524158453308282","0.0001524158453308282","25:0.0016644576966753366;27:0.0014479672654833797","25:68;27:68","25:0.001661215010282685;27:0.0016721887188619333","0.008056640625","0.019287109375","Yes"
"27","340.01669402381424","58.42538135437212","0.01171875","0.0126953125","0.0107421875","2280","0.0001745115348722534","32","0.0001745115348722534","0","0.0001745115348722534","0.0001745115348722534","26:0.0014479672654833797;28:0.0012642245814688258;17:0.003090146357167478","26:68;28:68;17:68","26:0.0016721887188619333;28:0.0014096512290441288;17:0.0012655402268870186","0.01171875","0.025390625","Yes"
"28","215.86266007169846","279.6239079795907","0.01123046875","0.021484375","0.0009765625","2280","0.00021926971232961255","32","0.00021926971232961255","0","0.00021926971232961255","0.00021926971232961255","27:0.0012642245814688258;29:0.0031673464376177074","27:68;29:68","27:0.0014096512290441288;29:0.0022411072629630047","0.01123046875","0.005859375","Yes"
"29","191.9446993184542","81.89101352162616","0.00634765625","0.0068359375","0.005859375","2280","0.00017574693074858756","32","0.00017574693074858756","0","0.00017574693074858756","0.00017574693074858756","38:0.009673148659257641;28:0.0031673464376177074;30:0.0013898573288165794","38:68;28:68;30:80","38:0.004168117253270653;28:0.0022411072629630047;30:0.0015064970909155206","0.00634765625","0.003173828125","Yes"
"30","252.04072771458183","64.5376727405523","0.0107421875","0.00927734375","0.01220703125","2280","0.0002687696003626368","32","0.0002687696003626368","0","0.0002687696003626368","0.0002687696003626368","31:0.0014296350898237997;29:0.0013898573288165794","31:68;29:80","31:0.0020583839884227018;29:0.0015064970909155206","0.0107421875","0.006591796875","Yes"
"31","294.9244585900031","269.5137832843364","0.099853515625","0.0634765625","0.13623046875","2280","0.00014545850775842813","32","0.00014545850775842813","0","0.00014545850775842813","0.00014545850775842813","30:0.0014296350898237997;32:0.0021723299692185394;18:0.002145302840614316","30:68;32:68;18:68","30:0.0020583839884227018;32:0.0013716908763118651;18:0.001734677206601698","0.099853515625","0.075439453125","Yes"
"32","298.7213979463537","363.0646985177728","0.021728515625","0.02099609375","0.0224609375","2280","0.0001540595727263255","32","0.0001540595727263255","0","0.0001540595727263255","0.0001540595727263255","31:0.0021723299692185394;33:0.00342650613622969","31:68;33:68","31:0.0013716908763118651;33:0.0018003200978247147","0.021728515625","0.0234375","Yes"
"33","317.78891705245303","357.92470564275436","0.02392578125","0.02783203125","0.02001953125","2280","0.00010417030907487146","32","0.00010417030907487146","0","0.00010417030907487146","0.00010417030907487146","39:0.002290032579973983;32:0.00342650613622969;34:0.0021590024863712143","39:68;32:68;34:108","39:0.0016249477423891656;32:0.0018003200978247147;34:0.001955453287742659","0.02392578125","0.016845703125","Yes"
"34","273.3237286716093","227.79455735091634","0.02587890625","0.0205078125","0.03125","2280","0.00018825627979276362","32","0.00018825627979276362","0","0.00018825627979276362","0.00018825627979276362","33:0.0021590024863712143;35:0.0021500997706727365","33:108;35:68","33:0.001955453287742659;35:0.0015811183228142123","0.02587890625","0.022216796875","Yes"
"35","245.31282424750273","309.0055826327432","0.037353515625","0.0341796875","0.04052734375","2280","0.0003039004140314917","32","0.0003039004140314917","0","0.0003039004140314917","0.0003039004140314917","19:0.001836954406500585;34:0.0021500997706727365","19:68;34:68","19:0.001026960711294711;34:0.0015811183228142123","0.037353515625","0.0673828125","Yes"
