"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"37","190.4496347209359","27.105708058620376","0.0263671875","0.021484375","0.03125","2584","0.0004389601393199393","36","0.0004389601393199393","0","0.0004389601393199393","0.0004389601393199393","45:0.005317951949003918;25:0.004361896800144122","45:68;25:68","45:0.0041361314432279694;25:0.003912420409617284","0.0263671875","Yes"
"38","94.84472756099167","81.02641743065648","0.005859375","0.01025390625","0.00146484375","2584","0.0003961591122239529","36","0.0003961591122239529","0","0.0003961591122239529","0.0003961591122239529","29:0.0026885200016239508;49:0.0028964674758039377","29:68;49:68","29:0.002439341741625023;49:0.00204082131199404","0.005859375","Yes"
"39","121.02154284407108","93.57727788821668","0.017578125","0.02294921875","0.01220703125","2584","0.00037473511494192556","36","0.00037473511494192556","0","0.00037473511494192556","0.00037473511494192556","53:0.001769926133037475;33:0.0014977111298653256","53:68;33:68","53:0.001318033236314825","0.017578125","Yes"
"40","199.3587075327088","107.1711648856052","0.0107421875","0.015625","0.005859375","2584","0.00022647123433440578","36","0.00022647123433440578","0","0.00022647123433440578","0.00022647123433440578","41:0.07406259943278393","41:68","41:0.1096349797248162","0.0107421875","Yes"
"41","203.49837500727367","36.90561054463178","0.018798828125","0.0322265625","0.00537109375","2584","0.0005710607901417634","36","0.0005710607901417634","0","0.0005710607901417634","0.0005710607901417634","40:0.07406259943278393;42:0.004620992817807756;36:0.0031342170524386037","40:68;42:68;36:68","40:0.1096349797248162;42:0.006804983316806956;36:0.016859726284003423","0.018798828125","Yes"
"42","180.2065189416131","99.78202721314118","0.009765625","0.0107421875","0.0087890625","2584","0.0003526731109662872","36","0.0003526731109662872","0","0.0003526731109662872","0.0003526731109662872","41:0.004620992817807756;43:0.004020539729372052","41:68;43:68","41:0.006804983316806956;43:0.004480092622151738","0.009765625","Yes"
"43","299.5419587264903","67.02050082324863","0.004638671875","0.00537109375","0.00390625","2584","0.00028683294122087337","36","0.00028683294122087337","0","0.00028683294122087337","0.00028683294122087337","42:0.004020539729372052;56:0.0019302744822917162;44:0.001581656509673457","42:68;56:68;44:68","42:0.004480092622151738;56:0.0016874384515448149;44:0.0015132815221533258","0.004638671875","Yes"
"44","121.33902325057055","76.53797117975257","0.0068359375","0.009765625","0.00390625","2584","0.0003564422195392965","36","0.0003564422195392965","0","0.0003564422195392965","0.0003564422195392965","45:0.0019975401120648495;43:0.001581656509673457","45:68;43:68","45:0.0021327284081495423;43:0.0015132815221533258","0.0068359375","Yes"
"45","55.93993514215704","72.35179820273034","0.007080078125","0.01123046875","0.0029296875","2584","0.0004870398900174086","36","0.0004870398900174086","0","0.0004870398900174086","0.0004870398900174086","44:0.0019975401120648495;46:0.0023882854120743646;37:0.005317951949003918","44:68;46:68;37:68","44:0.0021327284081495423;46:0.003225089712382251;37:0.0041361314432279694","0.007080078125","Yes"
"46","259.45551745519106","114.41281481418699","0.0087890625","0.01416015625","0.00341796875","2584","0.00034746269133145464","36","0.00034746269133145464","0","0.00034746269133145464","0.00034746269133145464","45:0.0023882854120743646;47:0.0017507297438628944","45:68;47:68","45:0.003225089712382251;47:0.005779136252802214","0.0087890625","Yes"
