t,pair,phi_plus,phi_minus,psi_plus,psi_minus,purity,svn,concurrence,psi_norm,ph03
8.6000,2_3_adjacent,0.29024285972028,0.256103051177178,0.248969450279217,0.204684638823324,0.291907922384,1.88166628910895,0,0.210401275487115,3.63916561183448E-17
8.6000,0_1_far_edge,0.28319169211703,0.241169614259631,0.268832350974587,0.206806342648752,0.301967163739257,1.85518853374367,0,0.241948631210177,-1.47827551110483E-17
8.7000,3_4_center_bell,0.311096494917626,0.243133563644378,0.240106054304041,0.205663887133955,0.292203837465631,1.88351497882777,0,0.213910210479952,0
8.7000,2_3_adjacent,0.294719026518351,0.253815055679006,0.244382650326285,0.207083267476358,0.290642471251165,1.88542716662544,0,0.206810728764922,3.71233882038003E-17
8.7000,0_1_far_edge,0.283438419334849,0.240569734774307,0.26813000796947,0.207861837921373,0.301008507747234,1.85791898614552,0,0.239855331635676,-1.61009031959769E-18
8.8000,3_4_center_bell,0.309977032940879,0.241233540456294,0.24215078321123,0.206638643391597,0.291491890902931,1.88577757165793,0,0.213229198488582,-6.02434803907814E-18
8.8000,2_3_adjacent,0.296939501576613,0.253638966416171,0.24114584701033,0.208275684996885,0.2891685339792,1.88957278456191,0,0.202056707118257,1.27522588381995E-17
8.8000,0_1_far_edge,0.284706424655699,0.23979045984652,0.267062207747813,0.208440907749967,0.300292121829316,1.8601113798694,0,0.238560003863428,-2.15138283337053E-17
8.9000,3_4_center_bell,0.304621855154152,0.240181517572312,0.247372097684791,0.207824529588744,0.290968624421016,1.88726765589536,0,0.213506601910959,-1.5531041905061E-17
8.9000,2_3_adjacent,0.297037712528847,0.254763282191182,0.239700737310771,0.208498267969199,0.287717805040908,1.89356660237244,0,0.197359612947967,-6.53089382622104E-18
8.9000,0_1_far_edge,0.286817471385856,0.23900024755363,0.265574281836565,0.208607999223949,0.299731599989318,1.86195099128982,0,0.237672679786823,8.66078561151822E-18
9.0000,3_4_center_bell,0.296834041793907,0.240005159456036,0.254409369240596,0.20875142950946,0.290645575268494,1.88804496879537,0,0.214183846267664,-3.64369935772007E-17
9.0000,2_3_adjacent,0.296792708915171,0.25511922467704,0.239580967354713,0.208507099053076,0.286678171772645,1.89655173378694,0,0.19448143751881,-6.62507158080733E-18
9.0000,0_1_far_edge,0.289255257701251,0.238425972179489,0.263656670328737,0.208662099790522,0.299128297761236,1.86387814172599,0,0.236476599662098,-1.76530496762236E-17
9.1000,3_4_center_bell,0.288583212763356,0.240618272146936,0.261443766196592,0.209354748893115,0.290435566722363,1.88839588415,0,0.214509816629589,-5.03656599971183E-17
9.1000,2_3_adjacent,0.296858081767348,0.25356228069666,0.240777668899556,0.208801968636435,0.286310607457309,1.89788684414577,0,0.19455578150071,-2.86957197169827E-17
9.1000,0_1_far_edge,0.291252542297617,0.238381715288884,0.261442349329699,0.2089233930838,0.298226609832708,1.86647629787582,0,0.234169431593635,-7.83295339943316E-18
9.2000,3_4_center_bell,0.281398964321116,0.24186777904443,0.266768348422269,0.209964908212184,0.290190205010449,1.88872422560379,0,0.213858694062936,-7.68251180893131E-17
