=== TEMPORAL SACRIFICE PROTOCOL ===
Edge -> Center switch sweep at N=7
Phase 1: [0.344, 0.001x6], Phase 2: [0.001x3, 0.344, 0.001x3]
Baselines: Edge SumMI=0.4076 PeakMI=0.0364 PeakT=2.00 | Center SumMI=0.1818 PeakMI=0.1089 PeakT=1.00

--- t_switch=0.5 ---
T=10.00 SumMI=0.007735 PeakMI=0.015218 Phase=2
T=10.50 SumMI=0.006838 PeakMI=0.015443 Phase=2
T=11.00 SumMI=0.006145 PeakMI=0.014616 Phase=2
T=11.50 SumMI=0.005945 PeakMI=0.014354 Phase=2
T=12.00 SumMI=0.005968 PeakMI=0.014710 Phase=2
T=12.50 SumMI=0.005586 PeakMI=0.014733 Phase=2
T=13.00 SumMI=0.005062 PeakMI=0.014699 Phase=2
T=13.50 SumMI=0.004623 PeakMI=0.014604 Phase=2
T=14.00 SumMI=0.004290 PeakMI=0.014147 Phase=2
T=14.50 SumMI=0.003893 PeakMI=0.013207 Phase=2
T=15.00 SumMI=0.003594 PeakMI=0.012860 Phase=2
T=15.50 SumMI=0.003328 PeakMI=0.013042 Phase=2
T=16.00 SumMI=0.003233 PeakMI=0.012966 Phase=2
T=16.50 SumMI=0.003102 PeakMI=0.012370 Phase=2
T=17.00 SumMI=0.002951 PeakMI=0.012210 Phase=2
T=17.50 SumMI=0.002854 PeakMI=0.012324 Phase=2
T=18.00 SumMI=0.002798 PeakMI=0.012273 Phase=2
T=18.50 SumMI=0.002690 PeakMI=0.011781 Phase=2
T=19.00 SumMI=0.002600 PeakMI=0.011488 Phase=2
T=19.50 SumMI=0.002505 PeakMI=0.011401 Phase=2
T=20.00 SumMI=0.002457 PeakMI=0.011331 Phase=2
RESULT SumMI=0.407596 PeakMI=0.039342 PeakT=2.00 SwitchT=2.00

--- t_switch=2.5 ---
T=0.50 SumMI=0.080394 PeakMI=0.000000 Phase=1
T=1.00 SumMI=0.215622 PeakMI=0.000046 Phase=1
T=1.50 SumMI=0.332528 PeakMI=0.001719 Phase=1
T=2.00 SumMI=0.407596 PeakMI=0.006464 Phase=1
T=2.50 SumMI=0.356491 PeakMI=0.010113 Phase=1
T=3.00 SumMI=0.228753 PeakMI=0.021136 Phase=2
T=3.50 SumMI=0.162057 PeakMI=0.006760 Phase=2
T=4.00 SumMI=0.111346 PeakMI=0.007428 Phase=2
T=4.50 SumMI=0.055542 PeakMI=0.022642 Phase=2
T=5.00 SumMI=0.051645 PeakMI=0.032522 Phase=2
T=5.50 SumMI=0.036394 PeakMI=0.039157 Phase=2
T=6.00 SumMI=0.021199 PeakMI=0.031270 Phase=2
T=6.50 SumMI=0.016525 PeakMI=0.015909 Phase=2
