edge	angle_deg	verdict	pairing_error	rate_error
field	37.0000	Hard	1.449563E-001	1.275219E-001
frustration	37.0000	Hard	5.107508E-002	3.531275E-002
field	37.5000	Hard	1.483227E-001	1.258386E-001
frustration	37.5000	Hard	5.240211E-002	3.532570E-002
field	38.0000	Hard	1.517049E-001	1.241475E-001
frustration	38.0000	Hard	5.374987E-002	3.532852E-002
field	38.5000	Hard	1.551018E-001	1.224491E-001
frustration	38.5000	Hard	5.511820E-002	3.532145E-002
field	39.0000	Hard	1.585125E-001	1.207438E-001
frustration	39.0000	Hard	5.650692E-002	3.530475E-002
field	39.5000	Hard	1.619357E-001	1.190321E-001
frustration	39.5000	Hard	5.791582E-002	3.527870E-002
field	40.0000	Hard	1.653706E-001	1.173147E-001
frustration	40.0000	Hard	5.934465E-002	3.524361E-002
field	40.5000	Hard	1.688161E-001	1.155920E-001
frustration	40.5000	Hard	6.079316E-002	3.519978E-002
field	41.0000	Hard	1.722710E-001	1.138645E-001
frustration	41.0000	Hard	6.226105E-002	3.514754E-002
field	41.5000	Hard	1.757343E-001	1.121328E-001
frustration	41.5000	Hard	6.374802E-002	3.508722E-002
field	42.0000	Hard	1.792051E-001	1.103975E-001
frustration	42.0000	Hard	6.525373E-002	3.501918E-002
field	42.5000	Hard	1.826822E-001	1.086589E-001
frustration	42.5000	Hard	6.677781E-002	3.494377E-002
field	43.0000	Hard	1.861645E-001	1.069177E-001
frustration	43.0000	Hard	3.486136E-002	3.486136E-002
field	43.5000	Hard	1.896510E-001	1.051745E-001
frustration	43.5000	Hard	3.477233E-002	3.477233E-002
field	44.0000	Hard	1.931407E-001	1.034297E-001
frustration	44.0000	Hard	3.467706E-002	3.467706E-002
field	44.5000	Hard	1.966324E-001	1.016838E-001
frustration	44.5000	Hard	3.457591E-002	3.457591E-002
field	45.0000	Hard	2.001251E-001	9.993746E-002
frustration	45.0000	Hard	3.446928E-002	3.446928E-002
field	45.5000	Hard	2.036177E-001	9.819115E-002
frustration	45.5000	Hard	3.435754E-002	3.435754E-002
field	46.0000	Hard	2.071092E-001	9.644541E-002
frustration	46.0000	Hard	3.424107E-002	3.424107E-002
field	46.5000	Hard	2.105984E-001	9.470078E-002
frustration	46.5000	Hard	7.993004E-002	3.412023E-002
field	47.0000	Hard	2.140844E-001	9.295778E-002
frustration	47.0000	Hard	8.171210E-002	3.399539E-002
field	47.5000	Hard	2.175661E-001	9.121696E-002
frustration	47.5000	Hard	8.352235E-002	3.386689E-002
field	48.0000	Hard	2.210423E-001	8.947884E-002
frustration	48.0000	Hard	3.373507E-002	3.373507E-002
field	48.5000	Hard	2.245121E-001	8.774396E-002
frustration	48.5000	Hard	8.676831E-002	3.360025E-002
field	49.0000	Hard	2.279743E-001	8.601284E-002
frustration	49.0000	Hard	8.851262E-002	3.346274E-002
field	49.5000	Hard	2.314280E-001	8.428602E-002
frustration	49.5000	Hard	9.044416E-002	3.332283E-002
field	50.0000	Hard	2.348720E-001	8.256402E-002
frustration	50.0000	Hard	9.213287E-002	3.318077E-002
field	50.5000	Hard	2.383053E-001	8.084736E-002
frustration	50.5000	Hard	9.328056E-002	3.303681E-002
field	51.0000	Hard	2.417268E-001	7.913658E-002
frustration	51.0000	Hard	9.570368E-002	3.289116E-002
field	51.5000	Hard	2.451356E-001	7.743219E-002
frustration	51.5000	Hard	9.741232E-002	3.274401E-002
field	52.0000	Hard	2.485306E-001	7.573472E-002
frustration	52.0000	Hard	9.858338E-002	3.259552E-002
field	52.5000	Hard	2.519106E-001	7.404468E-002
frustration	52.5000	Hard	1.010432E-001	3.244582E-002
field	53.0000	Hard	2.552748E-001	7.236258E-002
frustration	53.0000	Hard	1.029603E-001	3.229500E-002
field	53.5000	Hard	2.586221E-001	7.068895E-002
frustration	53.5000	Hard	1.047063E-001	3.214311E-002
field	54.0000	Hard	2.619514E-001	6.902430E-002
frustration	54.0000	Hard	3.199020E-002	3.199020E-002
field	54.5000	Hard	2.652618E-001	6.736912E-002
frustration	54.5000	Hard	3.183624E-002	3.183624E-002
field	55.0000	Hard	2.685522E-001	6.572392E-002
frustration	55.0000	Hard	3.168118E-002	3.168118E-002
field	55.5000	Hard	2.718216E-001	6.408922E-002
frustration	55.5000	Hard	3.152495E-002	3.152495E-002
field	56.0000	Hard	2.750690E-001	6.246549E-002
frustration	56.0000	Hard	3.136739E-002	3.136739E-002
field	56.5000	Hard	2.782935E-001	6.085325E-002
frustration	56.5000	Hard	3.120836E-002	3.120836E-002
field	57.0000	Hard	2.814941E-001	5.925297E-002
frustration	57.0000	Hard	3.104763E-002	3.104763E-002
field	57.5000	Hard	2.846697E-001	5.766516E-002
frustration	57.5000	Hard	1.196385E-001	3.088495E-002
field	58.0000	Hard	2.878194E-001	5.609028E-002
frustration	58.0000	Hard	3.072003E-002	3.072003E-002
field	58.5000	Hard	2.909423E-001	5.452883E-002
frustration	58.5000	Hard	3.055253E-002	3.055253E-002
field	59.0000	Hard	2.940375E-001	5.298127E-002
frustration	59.0000	Hard	3.038206E-002	3.038206E-002
field	59.5000	Hard	2.971038E-001	5.144808E-002
frustration	59.5000	Hard	3.020821E-002	3.020821E-002
