# two-coast protection landscape, recomputed from below by simulations/two_coast_sweep.py
# N=4 gamma=0.05 sigma=0.2 Z-dephasing on every site, no bond terms
# field:       H(theta) = sum_l (cos theta X_l + sin theta Z_l)
# frustration: H(phi) = sum_w (cos phi XIX + sin phi XXX + XXY + YXX), 3-site windows
# pairing_true = optimal (bottleneck) worst-partner distance for lambda -> -lambda-2sigma
# rate_error / freq_error = the same test on the real / imaginary parts alone
# verdict = the C# classifier's (greedy metric, threshold 1e-6), carried over from simulations/results/tilt_sweep_csharp.tsv
# angle_deg is that file's grid, rounded to 4 decimals; nine small angles are a radian
#   ladder (1e-4 to 5e-2 rad) and were evaluated at their exact value, not the rounded one
# the two angle-0 rows are the protected point: every column there is eigensolver noise
edge	angle_deg	verdict	pairing_true	rate_error	freq_error
field	76.5000	Hard	3.782499E-01	1.087504E-02	3.286260E-14
field	77.0000	Hard	3.798043E-01	1.009784E-02	1.598721E-14
field	77.5000	Hard	3.813040E-01	9.347985E-03	2.309264E-14
field	78.0000	Hard	3.827486E-01	8.625710E-03	1.509903E-14
field	78.5000	Hard	3.841375E-01	7.931228E-03	1.598721E-14
field	79.0000	Hard	3.854705E-01	7.264748E-03	4.352074E-14
field	79.5000	Hard	3.867471E-01	6.626471E-03	2.753353E-14
field	80.0000	Hard	3.879668E-01	6.016588E-03	3.463896E-14
field	80.5000	Hard	3.891294E-01	5.435283E-03	3.019807E-14
field	81.0000	Hard	3.902345E-01	4.882730E-03	1.687539E-14
field	81.5000	Hard	3.912818E-01	4.359097E-03	2.309264E-14
field	82.0000	Hard	3.922709E-01	3.864539E-03	1.776357E-14
field	82.5000	Hard	3.932016E-01	3.399206E-03	2.842171E-14
field	83.0000	Hard	3.940735E-01	2.963237E-03	4.440892E-14
field	83.5000	Hard	3.948865E-01	2.556764E-03	3.375078E-14
field	84.0000	Hard	3.956402E-01	2.179908E-03	2.398082E-14
field	84.5000	Hard	3.963344E-01	1.832783E-03	3.730349E-14
field	85.0000	Hard	3.969690E-01	1.515493E-03	2.575717E-14
field	85.5000	Hard	3.975437E-01	1.228133E-03	1.865175E-14
field	86.0000	Hard	3.980584E-01	9.707897E-04	3.463896E-14
field	86.5000	Hard	3.985129E-01	7.435398E-04	3.819167E-14
field	87.0000	Hard	3.989071E-01	5.464518E-04	2.842171E-14
field	87.5000	Hard	3.992408E-01	3.795848E-04	2.309264E-14
field	88.0000	Hard	3.995140E-01	2.429890E-04	4.263256E-14
field	88.5000	Hard	3.997266E-01	1.367052E-04	1.776357E-14
field	89.0000	Hard	3.998785E-01	6.076548E-05	1.154632E-14
field	89.5000	Hard	3.999696E-01	1.519251E-05	4.174439E-14
field	90.0000	Hard	4.000000E-01	5.055418E-15	1.865175E-14
frustration	0.0000	Soft	5.418298E-14	5.911938E-15	5.417888E-14
frustration	0.0057	Hard	3.097521E-05	2.020188E-07	6.128431E-14
frustration	0.0115	Hard	5.937543E-05	8.083774E-07	6.039613E-14
frustration	0.0286	Hard	7.593796E-05	5.065712E-06	5.506706E-14
