scenario,t,SumMI,Purity,MI_01,MI_12,MI_23,MI_34,CPsi_01,CPsi_12
"2 Mean-T2, Uniform DD",1.0,0.0001645853474544351,0.9530295830457558,2.0714230672402856e-07,7.21790838388997e-05,7.099885432566844e-05,2.1200266983142924e-05,0.9651808485979169,0.9666889772720756
"2 Mean-T2, Uniform DD",1.5,0.0002800659980924658,0.9305422434680932,1.588882486786014e-05,9.96804171309873e-05,0.00010958107665988426,5.49156794337341e-05,0.9504671866730691,0.9516799699823335
"2 Mean-T2, Uniform DD",2.0,0.00023946295688626051,0.9086898040265737,3.236445960227985e-05,6.352411662963187e-05,5.989191589761411e-05,8.368246475673469e-05,0.9365128610322137,0.9379085315024783
"2 Mean-T2, Uniform DD",2.5,0.00015610305090979493,0.887452932231003,1.4019272905563263e-05,2.4165991803298814e-05,4.954575098395364e-05,6.837203521697921e-05,0.9218483388885202,0.9227983443705408
"2 Mean-T2, Uniform DD",3.0,7.670630190109717e-05,0.8668149240634864,5.833616528172492e-07,1.9134139339932466e-05,3.0317898870840798e-05,2.667090203750666e-05,0.9065503565991984,0.9074894108083399
"2 Mean-T2, Uniform DD",3.5,7.561607105011081e-05,0.8467568807868484,5.753969016697447e-06,2.8958640885090592e-05,2.765647981553543e-05,1.3246981332787344e-05,0.892097796420923,0.8930392514225799
"2 Mean-T2, Uniform DD",4.0,0.00011935311279548388,0.8272602782002548,1.0249499499459525e-05,6.25999544045519e-05,3.7719336348607246e-05,8.784322542865208e-06,0.8788766974319363,0.8788939991336688
"2 Mean-T2, Uniform DD",4.5,0.00012268833499917697,0.8083055618394189,1.274453566657563e-05,6.435318133157786e-05,4.1048234455554056e-05,4.5423835454694306e-06,0.8669735243048741,0.866502186825251
"2 Mean-T2, Uniform DD",5.0,8.654021829818115e-05,0.7898751007078537,1.2867700209417965e-05,3.507525585455529e-05,2.962637061970641e-05,8.970891614501486e-06,0.8549275444338899,0.8534044710008684
"3 Mean-T2, Selective DD",0.0,3.8441118045779016e-15,0.9999999999999991,9.610279511444754e-16,9.610279511444754e-16,9.610279511444754e-16,9.610279511444754e-16,0.9999999999999978,0.9999999999999978
"3 Mean-T2, Selective DD",0.5,0.0004774184538986828,0.9675531516856689,9.194706245449491e-05,0.00012480631671336895,3.1894123373593652e-06,0.0002574756623934596,0.9741027349882837,0.9799945356498586
"3 Mean-T2, Selective DD",1.0,0.0006310804683625493,0.936367932742036,0.00026225565739775025,0.00020068550909627114,4.1286769352430475e-05,0.0001268525325160974,0.9528107812819302,0.9570547426374115
"3 Mean-T2, Selective DD",1.5,0.0006333628624914378,0.9063838455799389,0.00018085371320425425,0.00029579329186410486,0.00014886624564616757,7.849611776911125e-06,0.9329526806866874,0.9372261001728196
"3 Mean-T2, Selective DD",2.0,0.0006737473178137221,0.8775540903897227,0.00026964306363116974,0.0002782720395056726,0.00011025515447118939,1.5577060205690385e-05,0.9138730827048075,0.9195813344427162
"3 Mean-T2, Selective DD",2.5,0.0005951730090666407,0.8498293828046004,0.0003251399694041146,0.00018998720143637016,3.6540011968150266e-05,4.35058262580057e-05,0.8936164250782509,0.9013607213136628
"3 Mean-T2, Selective DD",3.0,0.0005333749800181531,0.8231694216829183,0.00020120130940859404,0.0001883045463506039,6.875479069362589e-05,7.511433356532926e-05,0.8730288948520771,0.8843598438880257
"3 Mean-T2, Selective DD",3.5,0.0007796578049000802,0.7975245008540989,0.00021334768819647465,0.00023673077723840308,0.00017143711704864506,0.0001581422224165574,0.8548887262567483,0.864024507980186
"3 Mean-T2, Selective DD",4.0,0.0008678401487818288,0.7728426111897018,0.0001759452825221275,0.00021927153505901797,0.0002937155267935254,0.00017890780440715792,0.8380412530876599,0.8448662101815705
"3 Mean-T2, Selective DD",4.5,0.0008300275181051808,0.7490912793657168,0.00014147615914211764,0.00021750442530205083,0.0002998627930681508,0.00017118414059286158,0.8214568689588972,0.8318402884030545
