eigvec_idx	eigenvalue_re	eigenvalue_im	pauli_string	xy_weight	coeff_abs	coeff_phase
0	-0.09999999999999981	-4.8806051127425794E-15	IZZIY	1	0.023374365505384694	2.0234837612077907
0	-0.09999999999999981	-4.8806051127425794E-15	IZZXI	1	0.023389853391307534	0.4519722515688884
0	-0.09999999999999981	-4.8806051127425794E-15	IZZXZ	1	0.02339804832977244	0.4514842511656889
0	-0.09999999999999981	-4.8806051127425794E-15	IZZYI	1	0.023374365505384576	2.023483761207788
0	-0.09999999999999981	-4.8806051127425794E-15	IZZYZ	1	0.023367136734981232	2.0239448807123086
0	-0.09999999999999981	-4.8806051127425794E-15	IZZZX	1	0.02339804832977225	0.4514842511656753
0	-0.09999999999999981	-4.8806051127425794E-15	IZZZY	1	0.02336713673498107	2.0239448807123006
0	-0.09999999999999981	-4.8806051127425794E-15	XIIII	1	0.02338872069911221	0.4519944879518687
0	-0.09999999999999981	-4.8806051127425794E-15	XIIIZ	1	0.023397117003327705	0.45150516320241496
0	-0.09999999999999981	-4.8806051127425794E-15	XIIZI	1	0.023397117003327483	0.45150516320240436
0	-0.09999999999999981	-4.8806051127425794E-15	XIIZZ	1	0.02338985339130782	0.45197225156889664
0	-0.09999999999999981	-4.8806051127425794E-15	XIZII	1	0.0233971170033275	0.4515051632024057
0	-0.09999999999999981	-4.8806051127425794E-15	XIZIZ	1	0.023389853391307783	0.4519722515688958
0	-0.09999999999999981	-4.8806051127425794E-15	XIZZI	1	0.02338985339130761	0.4519722515688908
0	-0.09999999999999981	-4.8806051127425794E-15	XIZZZ	1	0.023398048329771978	0.45148425116568097
0	-0.09999999999999981	-4.8806051127425794E-15	XZIII	1	0.02339711700332784	0.45150516320242007
0	-0.09999999999999981	-4.8806051127425794E-15	XZIIZ	1	0.023389853391308144	0.45197225156891074
0	-0.09999999999999981	-4.8806051127425794E-15	XZIZI	1	0.023389853391307957	0.4519722515689004
0	-0.09999999999999981	-4.8806051127425794E-15	XZIZZ	1	0.02339804832977246	0.45148425116569274
0	-0.09999999999999981	-4.8806051127425794E-15	XZZII	1	0.023389853391308026	0.4519722515688999
0	-0.09999999999999981	-4.8806051127425794E-15	XZZIZ	1	0.023398048329772377	0.4514842511656869
0	-0.09999999999999981	-4.8806051127425794E-15	XZZZI	1	0.02339804832977214	0.4514842511656816
0	-0.09999999999999981	-4.8806051127425794E-15	XZZZZ	1	0.02339082821142138	0.4519562737376252
0	-0.09999999999999981	-4.8806051127425794E-15	YIIII	1	0.02337330397714805	2.0235024811175077
0	-0.09999999999999981	-4.8806051127425794E-15	YIIIZ	1	0.023366064677170777	2.023975700274225
0	-0.09999999999999981	-4.8806051127425794E-15	YIIZI	1	0.023366064677170662	2.023975700274213
0	-0.09999999999999981	-4.8806051127425794E-15	YIIZZ	1	0.02337436550538493	2.0234837612078023
0	-0.09999999999999981	-4.8806051127425794E-15	YIZII	1	0.023366064677170666	2.0239757002742187
0	-0.09999999999999981	-4.8806051127425794E-15	YIZIZ	1	0.023374365505384874	2.0234837612078085
0	-0.09999999999999981	-4.8806051127425794E-15	YIZZI	1	0.02337436550538477	2.0234837612077987
0	-0.09999999999999981	-4.8806051127425794E-15	YIZZZ	1	0.023367136734980934	2.023944880712299
0	-0.09999999999999981	-4.8806051127425794E-15	YZIII	1	0.02336606467717101	2.0239757002742276
0	-0.09999999999999981	-4.8806051127425794E-15	YZIIZ	1	0.0233743655053853	2.0234837612078125
0	-0.09999999999999981	-4.8806051127425794E-15	YZIZI	1	0.023374365505385127	2.023483761207803
0	-0.09999999999999981	-4.8806051127425794E-15	YZIZZ	1	0.023367136734981284	2.0239448807123046
0	-0.09999999999999981	-4.8806051127425794E-15	YZZII	1	0.02337436550538505	2.023483761207809
0	-0.09999999999999981	-4.8806051127425794E-15	YZZIZ	1	0.02336713673498131	2.023944880712303
0	-0.09999999999999981	-4.8806051127425794E-15	YZZZI	1	0.02336713673498111	2.0239448807122953
0	-0.09999999999999981	-4.8806051127425794E-15	YZZZZ	1	0.023375335966625575	2.0234515242894706
0	-0.09999999999999981	-4.8806051127425794E-15	ZIIIX	1	0.023397117003327583	0.451505163202415
0	-0.09999999999999981	-4.8806051127425794E-15	ZIIIY	1	0.02336606467717076	2.0239757002742285
0	-0.09999999999999981	-4.8806051127425794E-15	ZIIXI	1	0.023397117003327403	0.45150516320240075
0	-0.09999999999999981	-4.8806051127425794E-15	ZIIXZ	1	0.02338985339130823	0.45197225156891024
0	-0.09999999999999981	-4.8806051127425794E-15	ZIIYI	1	0.023366064677170673	2.0239757002742103
0	-0.09999999999999981	-4.8806051127425794E-15	ZIIYZ	1	0.023374365505385408	2.0234837612078156
0	-0.09999999999999981	-4.8806051127425794E-15	ZIIZX	1	0.023389853391308148	0.45197225156891085
0	-0.09999999999999981	-4.8806051127425794E-15	ZIIZY	1	0.023374365505385332	2.023483761207812
0	-0.09999999999999981	-4.8806051127425794E-15	ZIXII	1	0.02339711700332741	0.45150516320240686
0	-0.09999999999999981	-4.8806051127425794E-15	ZIXIZ	1	0.023389853391308	0.4519722515689023
0	-0.09999999999999981	-4.8806051127425794E-15	ZIXZI	1	0.023389853391307832	0.45197225156889875
0	-0.09999999999999981	-4.8806051127425794E-15	ZIXZZ	1	0.023398048329772488	0.45148425116568947
0	-0.09999999999999981	-4.8806051127425794E-15	ZIYII	1	0.02336606467717064	2.0239757002742174
0	-0.09999999999999981	-4.8806051127425794E-15	ZIYIZ	1	0.02337436550538511	2.023483761207806
0	-0.09999999999999981	-4.8806051127425794E-15	ZIYZI	1	0.023374365505385	2.0234837612078
0	-0.09999999999999981	-4.8806051127425794E-15	ZIYZZ	1	0.023367136734981392	2.023944880712307
0	-0.09999999999999981	-4.8806051127425794E-15	ZIZIX	1	0.023389853391307693	0.45197225156890003
0	-0.09999999999999981	-4.8806051127425794E-15	ZIZIY	1	0.023374365505384843	2.023483761207801
0	-0.09999999999999981	-4.8806051127425794E-15	ZIZXI	1	0.02338985339130784	0.4519722515688961
0	-0.09999999999999981	-4.8806051127425794E-15	ZIZXZ	1	0.023398048329772693	0.4514842511657003
0	-0.09999999999999981	-4.8806051127425794E-15	ZIZYI	1	0.02337436550538483	2.0234837612077943
0	-0.09999999999999981	-4.8806051127425794E-15	ZIZYZ	1	0.02336713673498159	2.0239448807123184
0	-0.09999999999999981	-4.8806051127425794E-15	ZIZZX	1	0.023398048329772353	0.45148425116568713
0	-0.09999999999999981	-4.8806051127425794E-15	ZIZZY	1	0.02336713673498123	2.0239448807123117
0	-0.09999999999999981	-4.8806051127425794E-15	ZXIII	1	0.02339711700332777	0.45150516320242223
0	-0.09999999999999981	-4.8806051127425794E-15	ZXIIZ	1	0.023389853391308234	0.4519722515689084
0	-0.09999999999999981	-4.8806051127425794E-15	ZXIZI	1	0.02338985339130793	0.45197225156890497
0	-0.09999999999999981	-4.8806051127425794E-15	ZXIZZ	1	0.023398048329772467	0.4514842511656944
0	-0.09999999999999981	-4.8806051127425794E-15	ZXZII	1	0.02338985339130823	0.4519722515689124
0	-0.09999999999999981	-4.8806051127425794E-15	ZXZIZ	1	0.023398048329772644	0.4514842511656949
0	-0.09999999999999981	-4.8806051127425794E-15	ZXZZI	1	0.023398048329772332	0.4514842511656917
0	-0.09999999999999981	-4.8806051127425794E-15	ZXZZZ	1	0.023390828211421636	0.45195627373763775
0	-0.09999999999999981	-4.8806051127425794E-15	ZYIII	1	0.023366064677170974	2.0239757002742294
0	-0.09999999999999981	-4.8806051127425794E-15	ZYIIZ	1	0.023374365505385318	2.023483761207817
0	-0.09999999999999981	-4.8806051127425794E-15	ZYIZI	1	0.023374365505385054	2.023483761207807
0	-0.09999999999999981	-4.8806051127425794E-15	ZYIZZ	1	0.02336713673498147	2.023944880712309
0	-0.09999999999999981	-4.8806051127425794E-15	ZYZII	1	0.02337436550538525	2.023483761207816
0	-0.09999999999999981	-4.8806051127425794E-15	ZYZIZ	1	0.023367136734981652	2.0239448807123153
0	-0.09999999999999981	-4.8806051127425794E-15	ZYZZI	1	0.023367136734981277	2.023944880712308
0	-0.09999999999999981	-4.8806051127425794E-15	ZYZZZ	1	0.023375335966625756	2.023451524289484
0	-0.09999999999999981	-4.8806051127425794E-15	ZZIIX	1	0.023389853391307874	0.4519722515689001
0	-0.09999999999999981	-4.8806051127425794E-15	ZZIIY	1	0.02337436550538488	2.023483761207797
0	-0.09999999999999981	-4.8806051127425794E-15	ZZIXI	1	0.023389853391307665	0.45197225156888715
0	-0.09999999999999981	-4.8806051127425794E-15	ZZIXZ	1	0.023398048329772474	0.4514842511656887
0	-0.09999999999999981	-4.8806051127425794E-15	ZZIYI	1	0.023374365505384655	2.023483761207792
0	-0.09999999999999981	-4.8806051127425794E-15	ZZIYZ	1	0.023367136734981277	2.023944880712311
0	-0.09999999999999981	-4.8806051127425794E-15	ZZIZX	1	0.023398048329772436	0.4514842511656829
