scenario,initial,t,SumMI,Purity,MI_01,MI_12,MI_23,MI_34
"2 Mean-T2, Uniform DD",01010,5.0,1.4387521491899549,0.9085587176115103,0.12850462982124866,0.5914171665607639,0.5902894297646317,0.12854092304331055
"3 Mean-T2, Selective DD",01010,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"3 Mean-T2, Selective DD",01010,0.5,1.343794760733681,0.9897121971809713,0.32121388392907924,0.350109193189329,0.35089160760066607,0.3215800760146068
"3 Mean-T2, Selective DD",01010,1.0,1.4398041388699583,0.9744289174862368,0.3756328825751658,0.3438471924174593,0.3441859427951508,0.37613812108218236
"3 Mean-T2, Selective DD",01010,1.5,0.8593210259289437,0.962288545441282,0.27797555350209846,0.15193422321586536,0.151686856373479,0.27772439283750083
"3 Mean-T2, Selective DD",01010,2.0,1.4176896612100713,0.9489554393780872,0.18566447604165615,0.5235402586639999,0.5227665705737383,0.18571835593067698
"3 Mean-T2, Selective DD",01010,2.5,1.7060604635034338,0.9353346176733127,0.29544862095628166,0.557115953335227,0.5571430126229941,0.29635287658893095
"3 Mean-T2, Selective DD",01010,3.0,1.632415671947648,0.9257456333303343,0.5900835430276592,0.22518032555913026,0.2251863816391193,0.5919654217217392
"3 Mean-T2, Selective DD",01010,3.5,1.5032561557436115,0.9114520596089932,0.21499475735730367,0.5366294508835954,0.5363805925096878,0.2152513549930246
"3 Mean-T2, Selective DD",01010,4.0,1.777863342171103,0.897562618616241,0.5372268192642975,0.3529736091018685,0.35145315332401084,0.5362097604809262
"3 Mean-T2, Selective DD",01010,4.5,2.269122655691561,0.8899402944893064,0.5954374044506268,0.5392287664755087,0.5390870807939172,0.5953694039715081
"3 Mean-T2, Selective DD",01010,5.0,1.4070654171263572,0.877265357686771,0.1258229601467944,0.5782822662601921,0.5770272689111118,0.125932921808259
"4 Sacrifice, No DD",01010,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"4 Sacrifice, No DD",01010,0.5,1.3093299220016557,0.9138285256634804,0.3012949298663621,0.330185503638585,0.35496044542549,0.3228890430712186
"4 Sacrifice, No DD",01010,1.0,1.330729339095855,0.7907307976430169,0.33815432643202215,0.328989636670288,0.3010401034977337,0.36254527249581114
"4 Sacrifice, No DD",01010,1.5,0.847257240575708,0.7116700297074339,0.26930027765147746,0.14815159874384287,0.18594272528371603,0.2438626388966716
"4 Sacrifice, No DD",01010,2.0,1.1314275013712936,0.6295879851920936,0.16885504049737143,0.3794454256446427,0.41169145953679576,0.1714355756924837
"4 Sacrifice, No DD",01010,2.5,1.1826677964048893,0.5557525665539147,0.23014778378480383,0.36262258268012415,0.3506709707480473,0.239226459191914
"4 Sacrifice, No DD",01010,3.0,1.1932630357537672,0.5116416848142451,0.3862121686236959,0.21295179968090028,0.1957508287273655,0.3983482387218056
"4 Sacrifice, No DD",01010,3.5,1.0512349996725334,0.45252667191624796,0.19352854299251154,0.31446420074553116,0.3519995904323796,0.1912426655021111
"4 Sacrifice, No DD",01010,4.0,1.0982466754431068,0.4034273143840781,0.30715170494324906,0.23769812878756724,0.2432419730027342,0.31015486870955633
"4 Sacrifice, No DD",01010,4.5,1.233723376503132,0.3792126998109369,0.33849417735302545,0.27500777622106853,0.2881203571475133,0.33210106578152465
"4 Sacrifice, No DD",01010,5.0,0.8316412322415732,0.34442698139137545,0.09080904432894732,0.32376368077984985,0.31294526264347056,0.10412324448930543
"5 Sacrifice, Uniform DD",01010,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"5 Sacrifice, Uniform DD",01010,0.5,1.3235697177203356,0.9412835515155756,0.3065595052817067,0.33762227034032954,0.3564647789916757,0.3229231631066236
"5 Sacrifice, Uniform DD",01010,1.0,1.372701712240518,0.8525635143661141,0.35142702998645214,0.3365752523905894,0.31512160005084855,0.369577829812628
"5 Sacrifice, Uniform DD",01010,1.5,0.8530952258852769,0.7935411755957571,0.274570234497741,0.1475280891051649,0.17712629140149794,0.25387061088087304
"5 Sacrifice, Uniform DD",01010,2.0,1.228329331990262,0.7285942153305739,0.1736782229328031,0.4255645041248468,0.4525026848908005,0.17658392004181156
"5 Sacrifice, Uniform DD",01010,2.5,1.3340235022527605,0.6671990382267207,0.24810782733322512,0.4159145539218225,0.4121970631707701,0.2578040578269427
"5 Sacrifice, Uniform DD",01010,3.0,1.3336804027322877,0.6293700360748493,0.44669698892882925,0.2213367515778477,0.20887120947504134,0.4567754527505694
"5 Sacrifice, Uniform DD",01010,3.5,1.1917688028344195,0.5755948540880157,0.20142879044322326,0.37798126691045275,0.412120109325653,0.20023863615509052
"5 Sacrifice, Uniform DD",01010,4.0,1.2960377223740134,0.5285987079291783,0.3718867849777694,0.272504604537003,0.27918906388175024,0.37245726897749076
"5 Sacrifice, Uniform DD",01010,4.5,1.5072818901579939,0.5053187583420423,0.41036480458452407,0.34228642553150124,0.35207572690552946,0.4025549331364391
"5 Sacrifice, Uniform DD",01010,5.0,0.9892699331565986,0.46867659162784375,0.09456387627966945,0.4017216679029054,0.3848484625217492,0.10813592645227454
"6 Sacrifice, Selective DD",01010,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"6 Sacrifice, Selective DD",01010,0.5,1.3162554548610648,0.9226131326227734,0.30104861943763095,0.332967017371367,0.3588433798288233,0.3233964382232435
"6 Sacrifice, Selective DD",01010,1.0,1.3477773030243163,0.8087441553528381,0.3420766307696277,0.33377804314177095,0.3044687572449831,0.36745387186793455
"6 Sacrifice, Selective DD",01010,1.5,0.8495235630669793,0.7358759141423807,0.2721320422553928,0.14624045070913216,0.18603049809859895,0.2451205720038554
"6 Sacrifice, Selective DD",01010,2.0,1.1673264410276263,0.6580813452369387,0.17000281797018535,0.3948635432485168,0.42960080159944014,0.172859278209484
"6 Sacrifice, Selective DD",01010,2.5,1.2326236451991823,0.5868570098026079,0.23604138382479145,0.38006905971537197,0.37003583657793926,0.24647736508107965
"6 Sacrifice, Selective DD",01010,3.0,1.2388737762755244,0.5442692201665278,0.4004937472179668,0.22130670100739502,0.20296117821187742,0.41411214983828515
"6 Sacrifice, Selective DD",01010,3.5,1.1018393595771812,0.4860277997192152,0.19770440228560737,0.33352846656711477,0.3754326631132898,0.1951738276111692
"6 Sacrifice, Selective DD",01010,4.0,1.165492076588194,0.43703178092934325,0.32558988578030035,0.252243599112683,0.2591184447584287,0.3285401469367819
"6 Sacrifice, Selective DD",01010,4.5,1.3172860280442624,0.412813086192189,0.35877176394405796,0.29638088001820195,0.3107432184304135,0.351390165651589
"6 Sacrifice, Selective DD",01010,5.0,0.8895297549438692,0.3774041506033088,0.09216668059786493,0.3519252772936501,0.3377972619359242,0.10764053511643001
